# Jev baseline: the floors `scripts/ci/jev-baseline.sh` holds TypeSafe Jev with KMP to,
# measured on the judged corpus against the recorded cassette. missing_* score kmp_curate's
# missing relations (found at all; typed as a reader accepts), distractors_rejected the pairs
# that share words without a relation, suspect_* the audit against planted bad and known good
# declarations, precheck_* the apply pre-write check, ask_* the rank of the answer in proof
# without and with re-ranking. A number may rise freely; lowering one is a reviewed change
# that says why, and a re-recorded cassette is one. `cases` is exact.
# Refresh with: JEV_BASELINE=write bash scripts/ci/jev-baseline.sh
metric	floor
cases	2
missing_found	1.0000
missing_typed	0.7272
distractors_rejected	1.0000
missing_found_by_jev	0.3636
missing_found_without_jev	0.6363
suspect_recall	0.7500
suspect_precision	1.0000
good_declarations_kept	1.0000
precheck_available	1.0000
precheck_right	0.8750
precheck_right_no_direction	0.7500
ask_mrr_plain	0.1875
ask_mrr_rerank	0.9375
ask_mrr_wide	0.9375
ask_top5_plain	0.2500
ask_top5_rerank	1.0000
ask_top5_wide	1.0000
path_found_declared_only	0.0000
path_found_with_jev	0.8000
proposed_hops_right	0.8333
paths_clean_declared_only	1.0000
paths_clean_with_jev	1.0000
avoided_are_bad	1.0000
wake_first_page_plain	0.9333
wake_first_page_focused	1.0000
wake_all_pages_plain	0.9333
wake_all_pages_focused	1.0000
